,level_0,index,date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,date_2,usdprice_ffil,usdprice_Inter,Lag_1,Lag_3,Lag_6,rolling_3_mean,exp_min,exp_max,exp_mean,ewma
2022-01-15,1581.0,46854.0,2022-01-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,30.27,1.0808,0,1.0808,1.0808,1.0818,1.0523,1.0015,1.0832,0.5983,1.087,0.8177659574468086,1.059011926665738
2022-02-15,1601.0,47509.0,2022-02-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,31.5,1.1174,0,1.1174,1.1174,1.0808,1.087,1.0159,1.0933333333333335,0.5983,1.1174,0.82092,1.0765283486660167
2022-03-15,1615.0,48122.0,2022-03-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,35.96,1.2169,0,1.2169,1.2169,1.1174,1.0818,1.0484,1.1383666666666665,0.5983,1.2169,0.8250447916666667,1.1186398440662118
2022-04-15,1631.0,48725.0,2022-04-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,46.17,1.5785,0,1.5785,1.5785,1.2169,1.0808,1.0523,1.3042666666666667,0.5983,1.5785,0.8328123711340205,1.2565978908463487
2022-05-15,1645.0,49347.0,2022-05-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,51.09,1.7464,0,1.7464,1.7464,1.5785,1.1174,1.087,1.5139333333333334,0.5983,1.7464,0.842134693877551,1.403538523592444
2022-06-15,1660.0,50025.0,2022-06-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,53.9,1.8427,0,1.8427,1.8427,1.7464,1.2169,1.0818,1.7225333333333335,0.5983,1.8427,0.8522414141414141,1.5352869665147109
2022-07-15,1680.0,50684.0,2022-07-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,57.98,1.9822,0,1.9822,1.9822,1.8427,1.5785,1.0808,1.8571,0.5983,1.9822,0.863541,1.6693608765602976
2022-08-15,1699.0,51343.0,2022-08-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,61.85,1.7062,0,1.7062,1.7062,1.9822,1.7464,1.1174,1.8437,0.5983,1.9822,0.8718841584158415,1.6804126135922084
2022-09-15,1715.0,51989.0,2022-09-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,62.79,1.7203,0,1.7203,1.7203,1.7062,1.8427,1.2169,1.8029,0.5983,1.9822,0.8802019607843138,1.6923788295145459
2022-10-15,1734.0,52622.0,2022-10-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,61.84,1.6911,0,1.6911,1.6911,1.7203,1.9822,1.5785,1.7058666666666669,0.5983,1.9822,0.8880747572815534,1.691995180660182
2022-11-15,1751.0,53225.0,2022-11-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,61.97,1.6978,0,1.6978,1.6978,1.6911,1.7062,1.7464,1.7030666666666667,0.5983,1.9822,0.895860576923077,1.6937366264621274
2022-12-15,1763.0,53743.0,2022-12-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,62.3,1.6883,0,1.6883,1.6883,1.6978,1.7203,1.8427,1.6924000000000001,0.5983,1.9822,0.903407619047619,1.692105638523489
2023-01-15,1777.0,54249.0,2023-01-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,62.21,1.7012,0,1.7012,1.7012,1.6883,1.6911,1.9822,1.6957666666666666,0.5983,1.9822,0.9109339622641509,1.6948339469664422
2023-02-15,1793.0,54860.0,2023-02-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,62.69,1.698,0,1.698,1.698,1.7012,1.6978,1.7062,1.695833333333333,0.5983,1.9822,0.9182897196261682,1.6957837628765096
2023-03-15,1810.0,55521.0,2023-03-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,59.78,1.6347,0,1.6347,1.6347,1.698,1.6883,1.7203,1.6779666666666666,0.5983,1.9822,0.9249231481481481,1.6774586340135567
2023-04-15,1830.0,56174.0,2023-04-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,57.14,1.5625,0,1.5625,1.5625,1.6347,1.7012,1.6911,1.6317333333333333,0.5983,1.9822,0.9307724770642202,1.6429710438094896
2023-05-15,1844.0,56848.0,2023-05-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,55.71,1.5098,0,1.5098,1.5098,1.5625,1.698,1.6978,1.5690000000000002,0.5983,1.9822,0.9360363636363637,1.6030197306666427
2023-06-15,1861.0,57501.0,2023-06-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,54.43,1.4743,0,1.4743,1.4743,1.5098,1.6347,1.6883,1.5155333333333332,0.5983,1.9822,0.9408855855855855,1.5644038114666499
2023-07-15,1875.0,58133.0,2023-07-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,53.02,1.4499,0,1.4499,1.4499,1.4743,1.5625,1.7012,1.4779999999999998,0.5983,1.9822,0.9454303571428572,1.530052668026655
2023-08-15,1892.0,58778.0,2023-08-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,53.85,1.4582,0,1.4582,1.4582,1.4499,1.5098,1.698,1.4607999999999999,0.5983,1.9822,0.9499681415929204,1.5084968676186585
2023-09-15,1908.0,59407.0,2023-09-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,53.29,1.443,0,1.443,1.443,1.4582,1.4743,1.6347,1.4503666666666666,0.5983,1.9822,0.9542929824561404,1.488847807333061
2023-10-15,1926.0,60047.0,2023-10-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,51.37,1.4085,0,1.4085,1.4085,1.443,1.4499,1.5625,1.4365666666666668,0.5983,1.9822,0.9582426086956523,1.4647434651331428
2023-11-15,1942.0,60672.0,2023-11-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,49.86,1.3793,0,1.3793,1.3793,1.4085,1.4582,1.5098,1.4102666666666668,0.5983,1.9822,0.9618724137931035,1.4391104255932
2023-12-15,1958.0,61287.0,2023-12-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,48.87,1.319,0,1.319,1.319,1.3793,1.443,1.4743,1.3689333333333333,0.5983,1.9822,0.9649247863247863,1.40307729791524
2024-01-15,1975.0,61905.0,2024-01-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,49.14,1.3,0,1.3,1.3,1.319,1.4085,1.4499,1.3327666666666664,0.5983,1.9822,0.967764406779661,1.372154108540668
2024-02-15,1992.0,62525.0,2024-02-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,50.09,1.3286,0,1.3286,1.3286,1.3,1.3793,1.4582,1.3158666666666667,0.5983,1.9822,0.9707966386554622,1.3590878759784675
2024-03-15,2008.0,63131.0,2024-03-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,50.22,1.2943,0,1.2943,1.2943,1.3286,1.319,1.443,1.3076333333333334,0.5983,1.9822,0.9734925000000001,1.3396515131849274
